"","X","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"1",16001,"72HdutlIHBZJ7WT1xVAAZT","Shankar;Ehsaan;Loy;Alisha Chinai;Shankar Mahadevan;Gulzar","Bunty Aur Babli","Kajra Re",59,482586,"False",0.484,0.898,0,-4.132,1,0.164,0.365,0,0.091,0.68,91.975,4,"classical"
"2",16004,"3tp3ij9dtY3CacQgd1OvRf","Bombay Jayashri;Swattrex","Hindi LoFi Vibe","Zara Zara - LoFi Chill",59,387716,"False",0.583,0.308,7,-18.303,0,0.0465,0.581,0.0106,0.257,0.241,118.226,4,"classical"
"3",16007,"3dWXi0xNXqtBEjjbxwVbua","Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra","Classical Running","Primavera",0,442400,"False",0.23,0.206,0,-13.594,0,0.0348,0.965,0.856,0.17,0.134,139.114,3,"classical"
"4",16010,"7FRZcqaSZntnHEmmN9RoSY","Wolfgang Amadeus Mozart;Amalie Malling;Hans Pålsson","Refreshing Piano","Sonata in D Major for Two Pianos, K. 448: II. Andante",0,526200,"False",0.372,0.0273,2,-33.32,1,0.0409,0.993,0.924,0.081,0.157,115.872,4,"classical"
"5",16013,"2wQriMWlY1LiuAAw64Td3y","Johann Sebastian Bach;David Bell;Berliner Philharmoniker;Herbert von Karajan","Relajación y siestas","Suite No. 3 in D Major, BWV 1068: II. Air",2,363253,"False",0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,4,"classical"
"6",16016,"1SvJGlTN6dkeLVNG0L0N3L","Wolfgang Amadeus Mozart;Renée Fleming;Anne Sofie von Otter;Michele Pertusi;David Syrus;Chamber Orchestra of Europe;Sir Georg Solti","Silvia Colloca - Sing Like An Italian","Così fan tutte, K. 588: Soave sia il vento - Live",0,173189,"False",0.175,0.12,4,-22.495,1,0.0452,0.988,0.0456,0.177,0.0717,64.424,4,"classical"
"7",16019,"1HHtdxeTBu9s79KaUZn5dQ","Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan","Classical Christmas","Ave Maria",0,182933,"False",0.177,0.0601,0,-21.942,1,0.0405,0.987,0.894,0.0687,0.0543,81.807,3,"classical"
"8",16022,"5LpADD2axDBVmy9dGoUyxQ","Wolfgang Amadeus Mozart;Bernhard Paumgartner;Camerata Salzburg","Clásica para los niños de hoy","Divertimento in D Major, K. 136: I. Allegro",0,71960,"False",0.478,0.311,9,-13.227,1,0.0357,0.899,0.107,0.255,0.667,121.83,4,"classical"
"9",16025,"5rxdmYi9c3x86gm1OiRwjP","Johann Sebastian Bach;Lang Lang","Classical Christmas","Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,"False",0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,"classical"
"10",16028,"4f5ric0iKfsjcxtAr0BFfG","Wolfgang Amadeus Mozart;Wilhelm Kempff;Berliner Philharmoniker;Ferdinand Leitner","Clásica para los niños de hoy","Piano Concerto No. 27 in B-Flat Major, K. 595: II. Larghetto",0,451000,"False",0.261,0.0201,3,-25.726,1,0.039,0.99,0.895,0.108,0.0913,139.811,4,"classical"
"11",16031,"0o30XkI520zpdZIeSRaSXr","Johann Sebastian Bach;Orion Weiss","Yarlung Records: Fifteen Years","Overture in the French Style, Op. 2, BWV 831 (Excerpts): XI. Echo",0,176963,"False",0.522,0.215,11,-21.148,0,0.0655,0.992,0.912,0.0971,0.934,103.767,4,"classical"
"12",16034,"18fjez7hjQ13XLSRqgtven","Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler","Classical Christmas","Cantata BWV 208 (Arr. William Walton): Sheep May Safely Graze",0,283933,"False",0.0965,0.2,10,-16.97,1,0.0393,0.967,0.958,0.169,0.238,78.351,4,"classical"
"13",16037,"77xqVXjAVWLHeyMaXdiZcC","Johann Sebastian Bach;Albrecht Mayer;Beni Araki","Classical Christmas","Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia",0,307920,"False",0.145,0.135,7,-16.841,1,0.0429,0.978,0.971,0.323,0.0535,77.975,3,"classical"
"14",16040,"7w9YfF8mfQftxhm3JKcLlv","Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan","Classical Christmas","Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro)",0,391560,"False",0.513,0.296,7,-15.81,1,0.0496,0.99,0.803,0.158,0.804,84.367,4,"classical"
"15",16043,"5mwJeX3MET7i33fC0rXsHy","Johann Sebastian Bach;Albrecht Mayer;Rainer Kussmaul;Berliner Barock Solisten","Classical Christmas","Concerto for 2 Harpsichords, Strings & Continuo in C Minor, BWV 1060 - Reconstruction For Oboe, Violin, Strings & Continuo: II. Adagio",0,311786,"False",0.164,0.167,0,-17.032,0,0.044,0.594,0.368,0.224,0.154,87.069,3,"classical"
